"id","gene","category"
"GO:0005524","ROCK2A","MF"
"GO:0005634","ROCK2A","CC"
"GO:0005737","GPS1","CC"
"GO:0005856","EVLB","CC"
"GO:0030027","EVLB","CC"
"GO:0005856","TLN2A","CC"
"GO:0044209","ADKB","BP"
"GO:0016021","AQP11","CC"
"GO:0046872","DUS3L","MF"
"GO:0050660","DUS3L","MF"
"GO:0005524","MAPK15","MF"
"GO:0005524","MYO9B","MF"
"GO:0003723","RBM14B","MF"
"GO:0005634","CLNS1A","CC"
"GO:0005634","SI:DKEY-43P13.5","CC"
"GO:0005764","NAGA","CC"
"GO:0005886","F11R.1","CC"
"GO:0005524","MAP3K4","MF"
"GO:0016020","ZNF395","CC"
"GO:0008191","RECK","MF"
"GO:1904928","RECK","MF"
"GO:0045765","RECK","BP"
"GO:0090210","RECK","BP"
"GO:0090263","RECK","BP"
"GO:1904684","RECK","BP"
"GO:1990909","RECK","CC"
"GO:0005788","CALR3B","CC"
"GO:0016021","RTN4B","CC"
"GO:0005634","PSMC3","CC"
"GO:0005737","PSMC3","CC"
"GO:0005789","SERP1","CC"
"GO:0098794","NCDN","CC"
"GO:0005856","FGD4A","CC"
"GO:0006508","CTSA","BP"
"GO:0005886","SI:DKEY-22O22.2","CC"
"GO:0002102","SH3PXD2B","CC"
"GO:0005737","DTNBA","CC"
"GO:0005634","SETD8B","CC"
"GO:0005694","SETD8B","CC"
"GO:0008201","APPA","MF"
"GO:0005798","APPA","CC"
"GO:0016021","APPA","CC"
"GO:0032592","MICU1","CC"
"GO:0005524","STK24B","MF"
"GO:0005634","ASPM","CC"
"GO:0005737","ASPM","CC"
"GO:0005524","TAOK1","MF"
"GO:0005737","AKAP13","CC"
"GO:0003924","TUBB2B","MF"
"GO:0005737","HMMR","CC"
"GO:0005634","H2AFVB","CC"
"GO:0031902","VPS4B","CC"
"GO:0005856","PFN2","CC"
"GO:0000453","FTSJ3","BP"
"GO:0030688","FTSJ3","CC"
"GO:0005525","SEPT6","MF"
"GO:0005856","PTPN13","CC"
"GO:0006782","ALAD","BP"
"GO:0005788","P4HB","CC"
"GO:0030670","OCRL","CC"
"GO:0031901","OCRL","CC"
"GO:0005829","SI:CH211-260E23.9","CC"
"GO:0016605","SI:CH211-260E23.9","CC"
"GO:0006782","HMBSA","BP"
"GO:0042383","NOS1","CC"
"GO:0043197","NOS1","CC"
"GO:0005524","ROCK2B","MF"
"GO:0005634","PAX6B","CC"
"GO:0005524","CAMK2G2","MF"
"GO:0030659","ZDHHC13","CC"
"GO:0005634","CHD2","CC"
"GO:0055037","AVL9","CC"
"GO:0000781","CR762398.1","CC"
"GO:0005634","CR762398.1","CC"
"GO:0031514","TEKT1","CC"
"GO:0005524","PAK2A","MF"
"GO:0005737","CLIC1","CC"
"GO:0006886","AP1M1","BP"
"GO:0005794","AP1M1","CC"
"GO:0030665","AP1M1","CC"
"GO:0030131","AP1M1","CC"
"GO:0005789","SSR1","CC"
"GO:0005634","NCAPD2","CC"
"GO:0001726","BAIAP2B","CC"
"GO:0005856","BAIAP2B","CC"
"GO:0016020","BAIAP2B","CC"
"GO:0030175","BAIAP2B","CC"
"GO:0005737","ARHGEF12B","CC"
"GO:0016020","ARHGEF12B","CC"
"GO:0000139","SH3GLB1B","CC"
"GO:0005741","SH3GLB1B","CC"
"GO:0006397","XRN2","BP"
"GO:0016567","ANAPC2","BP"
"GO:0006636","ELOVL1B","BP"
"GO:0035338","ELOVL1B","BP"
"GO:0016021","JPH3","CC"
"GO:0005509","PCDH11","MF"
"GO:0005634","MEF2CB","CC"
"GO:0003677","SI:CH73-311H14.2","MF"
"GO:0005524","MAP4K4","MF"
"GO:0005524","DYRK2","MF"
"GO:0030145","MRE11A","MF"
"GO:0006886","AP1G1","BP"
"GO:0003723","ALYREF","MF"
"GO:0017183","DPH5","BP"
"GO:0046872","METAP2B","MF"
"GO:0070006","METAP2B","MF"
"GO:1990246","MICU1","CC"
"GO:0070084","METAP2B","BP"
"GO:0005737","METAP2B","CC"
"GO:0005524","TOP2A","MF"
"GO:0006265","TOP2A","BP"
"GO:0005654","TOP2A","CC"
"GO:0005737","EP300A","CC"
"GO:0016021","SYNGR2B","CC"
"GO:0003676","NKRF","MF"
"GO:0005524","ENSDARG00000077545","MF"
"GO:0005509","PLCB3","MF"
"GO:0005524","SI:ZFOS-2326C3.2","MF"
"GO:0030670","INPP5B","CC"
"GO:0031901","INPP5B","CC"
"GO:0005524","MAP3K7","MF"
"GO:0003723","TNRC6C2","MF"
"GO:0006506","PIGL","BP"
"GO:0005634","UNCX","CC"
"GO:0005524","ROCK1","MF"
"GO:0000139","B3GALT2","CC"
"GO:0034599","KEAP1B","BP"
"GO:0005737","AIP","CC"
"GO:0005737","ACRC","CC"
"GO:0005634","EBF3A","CC"
"GO:0005789","TMED5","CC"
"GO:0033116","TMED5","CC"
"GO:0005576","CYR61L2","CC"
"GO:0005886","CAP2","CC"
"GO:0008201","APLP1","MF"
"GO:0006886","TOM1","BP"
"GO:0005737","CREBBPB","CC"
"GO:0005509","PCDH8","MF"
"GO:0005524","MUSK","MF"
"GO:0005604","HSPG2","CC"
"GO:0005524","BMPR1AB","MF"
"GO:0012505","PARD3","CC"
"GO:0005634","ASH1L","CC"
"GO:0003774","MYO18AA","MF"
"GO:0005524","MYO18AA","MF"
"GO:0005634","HIST1H2BA","CC"
"GO:0005634","POU2F2A","CC"
"GO:0005737","MADD","CC"
"GO:0016020","MADD","CC"
"GO:0006886","AP1S1","BP"
"GO:0016567","CU019646.2","BP"
"GO:0005737","CU019646.2","CC"
"GO:0006635","CPT1AA","BP"
"GO:0005741","CPT1AA","CC"
"GO:0000287","ATP11C","MF"
"GO:0005524","ATP11C","MF"
"GO:0005788","P4HA2","CC"
"GO:0016567","CUL2","BP"
"GO:0005634","EPB41A","CC"
"GO:0005938","EPB41A","CC"
"GO:0005524","KIF23","MF"
"GO:0005524","MYO1CB","MF"
"GO:0005634","CDCA2","CC"
"GO:0030659","SNX9B","CC"
"GO:0000421","ATP6AP2","CC"
"GO:0005789","ATP6AP2","CC"
"GO:0030424","ATP6AP2","CC"
"GO:0032591","ATP6AP2","CC"
"GO:0005856","ABI1B","CC"
"GO:0030175","ABI1B","CC"
"GO:0006886","CLTCA","BP"
"GO:0005737","TRIM3B","CC"
"GO:0016020","MAGI1B","CC"
"GO:0006486","GALNT7","BP"
"GO:0000139","GALNT7","CC"
"GO:0005856","PTPN21","CC"
"GO:0005524","PCCA","MF"
"GO:0005856","SI:DKEY-280E21.3","CC"
"GO:0030027","SI:DKEY-280E21.3","CC"
"GO:0030175","SI:DKEY-280E21.3","CC"
"GO:0030426","SI:DKEY-280E21.3","CC"
"GO:0043204","SI:DKEY-280E21.3","CC"
"GO:0006508","SCPEP1","BP"
"GO:0016925","PIAS2","BP"
"GO:0003677","INO80","MF"
"GO:0005524","INO80","MF"
"GO:0005634","PAX1B","CC"
"GO:0003684","RAD23B","MF"
"GO:0006289","RAD23B","BP"
"GO:0005576","FIBINA","CC"
"GO:0005783","FIBINA","CC"
"GO:0005794","FIBINA","CC"
"GO:0005634","MGAA","CC"
"GO:0031966","OGT.1","CC"
"GO:0034707","TTYH3A","CC"
"GO:0005654","GLTSCR2","CC"
"GO:0010506","KEAP1B","BP"
"GO:0016567","KEAP1B","BP"
"GO:0005634","KEAP1B","CC"
"GO:0005737","KEAP1B","CC"
"GO:0016234","KEAP1B","CC"
"GO:0006096","ENO1A","BP"
"GO:0000781","RIF1","CC"
"GO:0003723","TRMT2A","MF"
"GO:0005789","EBP","CC"
"GO:0016021","EBP","CC"
"GO:0005737","CXXC5A","CC"
"GO:0009258","ALDH1L1","BP"
"GO:0005737","PTPN6","CC"
"GO:0031901","GGA1","CC"
"GO:0010008","MCOLN3A","CC"
"GO:0005794","GGA1","CC"
"GO:0008201","APLP2","MF"
"GO:0030027","ARHGEF7A","CC"
"GO:0005788","SUMF1","CC"
"GO:0051015","CAPGB","MF"
"GO:0008154","CAPGB","BP"
"GO:0051014","CAPGB","BP"
"GO:0051016","CAPGB","BP"
"GO:0001726","CAPGB","CC"
"GO:0005634","CAPGB","CC"
"GO:0030027","CAPGB","CC"
"GO:0042470","CAPGB","CC"
"GO:0003723","ZGC:163098","MF"
"GO:0005737","RNF10","CC"
"GO:0030234","PSMD1","MF"
"GO:0042176","PSMD1","BP"
"GO:0000139","GCNT4","CC"
"GO:0016020","CNP","CC"
"GO:0014069","ARHGEF9B","CC"
"GO:0031966","FAM173A","CC"
"GO:0005524","MAP3K15","MF"
"GO:0003774","SMYHC1","MF"
"GO:0005524","SMYHC1","MF"
"GO:0005923","PARD6A","CC"
"GO:0046872","FAH","MF"
"GO:0006559","FAH","BP"
"GO:0005634","TCEA1","CC"
"GO:0030424","BCR","CC"
"GO:0043197","BCR","CC"
"GO:0000245","GEMIN2","BP"
"GO:0005681","GEMIN2","CC"
"GO:0016021","SLC25A16","CC"
"GO:0005654","MAU2","CC"
"GO:0004601","PRDX6","MF"
"GO:0034720","KDM1A","BP"
"GO:0005634","KDM1A","CC"
"GO:0005794","ARFGEF1","CC"
"GO:0048471","ARFGEF1","CC"
"GO:0005524","ABCA3B","MF"
"GO:0005524","RIPK4","MF"
"GO:0001965","CCDC88C","MF"
"GO:0003383","CCDC88C","BP"
"GO:0005737","CCDC88C","CC"
"GO:0005634","CTBP2A","CC"
"GO:0000139","SFT2D2","CC"
"GO:0005524","RPS6KB1B","MF"
"GO:0005634","MUSTN1","CC"
"GO:0005737","ARHGEF9B","CC"
"GO:0005524","SRPK1A","MF"
"GO:0030054","CCDC88C","CC"
"GO:0005524","LATS2","MF"
"GO:0008270","SUV39H1B","MF"
"GO:0000775","SUV39H1B","CC"
"GO:0016020","PPM1AA","CC"
"GO:0005524","ABCB5","MF"
"GO:0006511","UCHL5","BP"
"GO:0005576","SLIT1B","CC"
"GO:0006886","AP1S2","BP"
"GO:0004222","BMP1A","MF"
"GO:0008270","BMP1A","MF"
"GO:0005856","ABI1A","CC"
"GO:0030175","ABI1A","CC"
"GO:0008270","FNTB","MF"
"GO:0016021","PXMP4","CC"
"GO:0016021","SLC25A14","CC"
"GO:0005525","RRAGA","MF"
"GO:0005524","KIF3A","MF"
"GO:0005524","UBE2KB","MF"
"GO:0005856","FGD1","CC"
"GO:0005524","UBE2L3A","MF"
"GO:0006644","PLPP1","BP"
"GO:0005901","PLPP1","CC"
"GO:0016324","PLPP1","CC"
"GO:0006887","LIN7C","BP"
"GO:0015031","LIN7C","BP"
"GO:0098793","LIN7C","CC"
"GO:0005634","MEIS1B","CC"
"GO:0016567","FBXO25","BP"
"GO:0005634","FBXO25","CC"
"GO:0005576","LGI2A","CC"
"GO:0003743","EIF1AXA","MF"
"GO:0005886","ENSDARG00000042961","CC"
"GO:0005634","MEIS2B","CC"
"GO:0005770","RAPGEF2","CC"
"GO:0030054","RAPGEF2","CC"
"GO:0048471","RAPGEF2","CC"
"GO:0005789","PLOD3","CC"
"GO:0006119","COX7B","BP"
"GO:0006744","COQ9","BP"
"GO:0005737","PTPN11A","CC"
"GO:0005737","SI:DKEYP-97B10.3","CC"
"GO:0006535","CBSA","BP"
"GO:0019343","CBSA","BP"
"GO:0003774","VMHCL","MF"
"GO:0005524","VMHCL","MF"
"GO:0030424","ADGRL2A","CC"
"GO:0005739","NR3C1","CC"
"GO:0005819","NR3C1","CC"
"GO:0005925","SORBS2B","CC"
"GO:0006189","ADSL","BP"
"GO:0044208","ADSL","BP"
"GO:0003677","SMARCB1B","MF"
"GO:0000287","IDH3B","MF"
"GO:0051287","IDH3B","MF"
"GO:0005634","TEAD1B","CC"
"GO:0003743","EIF1AXB","MF"
"GO:0005524","MAPKAPK3","MF"
"GO:0006226","DUT","BP"
"GO:0016021","MPDU1A","CC"
"GO:0003723","NELFE","MF"
"GO:0003735","FAUB","MF"
"GO:0003774","MYH9A","MF"
"GO:0005524","MYH9A","MF"
"GO:0005604","ANXA2A","CC"
"GO:0016020","ANXA2A","CC"
"GO:0005737","HNRNPD","CC"
"GO:0032264","HPRT1","BP"
"GO:0005737","HPRT1","CC"
"GO:0000049","TRMT1L","MF"
"GO:0005524","DAPK1","MF"
"GO:0016021","SLC25A22","CC"
"GO:0016021","SLC31A1","CC"
"GO:0005741","BIDA","CC"
"GO:0005524","TAOK3A","MF"
